사건번호,물건종류,용도설명,소재지,감정가(원),최저매각가(원),낙찰가(원),매각기일,유찰횟수,거리(m)
2024타경2530,아파트,아파트,경기도 수원시 영통구 원천동 593 광교아이파크 107동 18층1804호,987000000,690900000,799999999,2025-06-16,1,243
2024타경7290,아파트,아파트,경기도 수원시 영통구 원천동 548 원천레이크파크아파트 203동 7층703호,408000000,408000000,426000000,2025-05-21,0,414
2024타경79202,아파트,아파트,경기도 수원시 영통구 원천동 548 원천레이크파크아파트 202동 12층1206호,420000000,420000000,451200000,2025-08-19,0,414
2024타경81083,아파트,아파트,경기도 수원시 영통구 매탄동 1211 한국아파트 104동 5층508호,600000000,420000000,550100000,2025-08-12,1,468
2024타경13936,기타건물,기타,경기도 수원시 영통구 원천동 263-15,23100000,23100000,50010000,2025-10-29,0,630
2023타경13632,주거용,기타,경기도 수원시 영통구 원천동 246 에이스스마트윙영통지식산업센터 1동 13층1309호,190000000,65170000,82570000,2025-04-28,3,757
2024타경3632,주거용,근린시설,경기도 수원시 영통구 원천동 246 에이스스마트윙영통지식산업센터 1동 12층1210호,190000000,65170000,102000000,2026-04-10,3,757
2024타경6877,아파트,아파트,경기도 수원시 영통구 매탄동 1217-5 백자아파트 101동 1층112호,462000000,323400000,390100999,2025-08-20,1,796
2024타경9609,아파트,아파트,경기도 수원시 영통구 원천동 333-3 원천1차삼성아파트 1동 13층1302호,239000000,167300000,206080000,2025-08-29,1,843
2024타경77879,아파트,아파트,경기도 수원시 영통구 원천동 300-3 신미주아파트 102동 19층1901호,350000000,245000000,260777000,2025-09-26,1,880
2024타경9586,아파트,"상가,오피스텔,근린시설",경기도 수원시 영통구 원천동 296-6 수원영통아크로파크 12(104동)층1203호,332000000,232400000,259500050,2025-09-24,1,958
2023타경85408,아파트,다세대,경기도 수원시 영통구 매탄동 198-88 198빌 2층201호,333000000,163170000,205500000,2025-10-29,2,1200
2024타경10302,주거용,"상가,오피스텔,근린시설",경기도 수원시 영통구 원천동 589 광교중흥에스클래스판매시설 지1층비1-133호,730000000,357700000,0,2026-06-09,3,1207
2024타경91196,아파트,아파트,경기도 수원시 영통구 원천동 589 광교중흥에스클래스 109동 43층4303호,1670000000,1169000000,1714132598,2025-12-08,1,1207
2023타경87145,아파트,"상가,오피스텔,근린시설",경기도 수원시 영통구 원천동 353-15 힐스해피하우스,3455947000,1693414000,2439763000,2025-10-14,2,1261
2024타경72256,아파트,아파트,경기도 수원시 영통구 원천동 35 원천주공아파트 106동 2층211호,280000000,196000000,261110000,2025-11-12,1,1353
2024타경9869,기타건물,다가구주택,경기도 수원시 영통구 원천동 406-4,2736527590,1915569000,0,2026-04-29,2,1371
2023타경11919,기타건물,단독주택다가구,경기도 수원시 영통구 매탄동 407-15,1753189120,1227232000,1240000000,2026-01-07,1,1397
2024타경10029,주거용,오피스텔,경기도 수원시 영통구 하동 1017-4 포레나광교 40층101동4001호,1150000000,1150000000,0,2026-04-24,1,1407
2024타경86965,아파트,단독주택,경기도 수원시 영통구 매탄동 407-24,1750414760,857703000,1192600760,2025-09-05,2,1426
2024타경12322,아파트,아파트,경기도 용인시 기흥구 영덕동 969 흥덕마을힐스테이트 707동 10층1004호,800000000,800000000,800011000,2025-07-15,0,1436
2024타경87111,아파트,아파트,경기도 수원시 영통구 이의동 1370 광교에듀포레 5001동 10층1003호,1090000000,1090000000,1388009999,2026-03-17,0,1463
2023타경53197,아파트,아파트,경기도 수원시 영통구 하동 1021 힐스테이트광교 103동 8층803호,1580000000,1106000000,1480300000,2025-10-24,1,1520
2024타경8217,주거용,"상가,오피스텔,근린시설",경기도 수원시 영통구 원천동 627 현대테라타워영통 10층비1002호,165000000,80850000,84850000,2025-10-14,2,1560
2024타경12926,아파트,아파트,경기도 수원시 영통구 매탄동 810-4 성일아파트 201동 2층201호,212000000,148400000,188999999,2026-01-27,1,1623
2024타경63948,아파트,아파트,경기도 수원시 영통구 매탄동 810-4 성일아파트 203동 13층1305호,275000000,192500000,254000000,2025-07-02,1,1623
2024타경85108,아파트,오피스텔,경기도 수원시 영통구 이의동 1338 광교센트럴푸르지오시티 14층에이동1432호,158000000,110600000,110600000,2025-09-01,1,1640
2024타경64293,아파트,아파트,경기도 수원시 영통구 하동 1019 광교더샵레이크파크 102동 31층3105호,974000000,681800000,865000000,2025-05-28,1,1690
