사건번호,법원,물건종류,용도설명,소재지,감정가(원),최저매각가(원),낙찰가(원),매각기일,유찰횟수,거리(m)
2023타경3747,동부지원,아파트,아파트,부산광역시 해운대구 우동 345-6 신동비치아파트 2동 3층301호,402000000,196980000,263830000,2026-01-12,2,1884
2023타경103890,동부지원,아파트,아파트,부산광역시 해운대구 우동 598-4 해운대파크에비뉴 18층1804호,202000000,3640000,4037800,2026-03-09,18,1739
2023타경109584,동부지원,주거용,기타,부산광역시 해운대구 우동 1432 현대베네시티 지하상가동 지하1층비101-2호,1150000000,920000000,921000000,2025-05-12,1,541
2023타경110843,동부지원,아파트,아파트,부산광역시 해운대구 우동 1100 센텀삼환아파트 104동 13층1304호,522000000,334080000,435100000,2025-05-13,2,1771
2023타경110867,동부지원,아파트,아파트,부산광역시 해운대구 우동 1100 센텀삼환아파트 106동 7층705호,522000000,417600000,432000000,2025-09-22,1,1771
2023타경111051,동부지원,아파트,아파트,부산광역시 해운대구 우동 1549 해운대비스타동원 102동 29층2906호,1220000000,854000000,1113899000,2026-05-04,1,1864
2023타경111365,동부지원,주거용,기타,부산광역시 해운대구 우동 645-2 블루스토리호텔 14층1404호,215000000,56360900,58800000,2025-06-23,6,1190
2024타경158,동부지원,아파트,오피스텔,부산광역시 해운대구 우동 1523 더블유비씨더팰리스 101동 24층2401호,2550000000,2040000000,2259999000,2025-06-02,1,1607
2024타경752,동부지원,아파트,아파트,부산광역시 해운대구 우동 977 대우마리나3차아파트 310동 1층104호,897000000,627900000,757113600,2025-05-13,1,658
2024타경806,동부지원,아파트,아파트,부산광역시 해운대구 우동 1407 해운대두산위브더제니스 102동 73층7307호,4000000000,1372000000,1567000000,2025-06-30,3,2
2024타경936,동부지원,아파트,아파트,부산광역시 해운대구 우동 1008-5 동부올림픽타운 118동 6층604호,1050000000,735000000,867100000,2025-05-26,1,1165
2024타경1854,동부지원,아파트,아파트,부산광역시 해운대구 우동 1408 해운대아이파크 주동1동 33층3310호,1470000000,1029000000,1035000000,2025-07-14,2,229
2024타경2123,동부지원,주거용,근린시설,부산광역시 해운대구 우동 1405-1 마린시티자이 3층306호,742000000,379904000,430000900,2025-04-28,3,302
2024타경2383,동부지원,아파트,아파트,부산광역시 해운대구 우동 1432 현대베네시티 101동 2층202호,1700000000,1190000000,1321100000,2025-05-13,1,541
2024타경2420,동부지원,아파트,오피스텔,부산광역시 해운대구 우동 639-3 해피투모로우마린 10층1007호,295000000,206500000,208500000,2026-02-24,1,1256
2024타경2475,동부지원,아파트,아파트,부산광역시 해운대구 우동 1432 현대베네시티 102동 16층1601호,2191000000,1533700000,1900200000,2025-04-21,1,541
2024타경2772,동부지원,아파트,"상가,오피스텔,근린시설",부산광역시 해운대구 우동 1506 센텀스퀘어 20층2008호,413000000,289100000,322770000,2025-06-24,1,1578
2024타경3164,동부지원,아파트,아파트,부산광역시 해운대구 우동 333 해운대협성프라임빌아파트 101동 14층1404호,429000000,300300000,353210000,2025-06-30,1,1872
2024타경3614,동부지원,아파트,오피스텔,부산광역시 해운대구 우동 1506 센텀스퀘어 9층909호,392000000,192080000,287827777,2026-04-28,2,1578
2024타경3706,동부지원,주거용,근린시설,부산광역시 해운대구 우동 603-19 라마다앙코르해운대호텔 1층104호,2821000000,1382290000,1920000000,2025-08-11,2,1512
2024타경4044,동부지원,주거용,기타,부산광역시 해운대구 우동 645-2 블루스토리호텔 14층1416호,199000000,47780000,62250000,2025-11-03,4,1190
2024타경5085,동부지원,아파트,오피스텔,부산광역시 해운대구 우동 1435-3 한일오르듀 18층1923호,288000000,288000000,0,2026-04-28,0,191
2024타경5337,동부지원,기타건물,근린시설,부산광역시 해운대구 우동 655-6,13514607750,6622157700,7450000000,2026-03-24,2,987
2024타경5474,동부지원,아파트,아파트,부산광역시 해운대구 중동 1839 롯데캐슬스타 103동 47층4705호,1053000000,1053000000,0,2026-05-18,0,1952
2024타경5757,동부지원,아파트,"상가,오피스텔,근린시설",부산광역시 해운대구 우동 639-3 해피투모로우마린 17층1704호,374000000,261800000,330000000,2025-08-18,1,1256
2024타경6224,동부지원,아파트,아파트,부산광역시 해운대구 우동 1102-221 센텀현대아파트 101동 15층1504호,459000000,321300000,380000900,2025-11-25,1,1564
2024타경6231,동부지원,주거용,기타,부산광역시 해운대구 우동 539-10 해운대라뮤에뜨 22층2209호,425000000,208250000,0,2026-01-13,3,1406
2024타경6279,동부지원,아파트,아파트,부산광역시 해운대구 중동 1402-5 505호 삼강아파트,284000000,139160000,139160000,2026-03-09,2,1857
2024타경6309,동부지원,주거용,근린시설,부산광역시 해운대구 중동 1839 롯데캐슬스타 105동 1층102호,2390000000,573839000,0,2026-04-28,5,1952
2024타경6378,동부지원,아파트,아파트,부산광역시 해운대구 우동 1388-12 경남마리나아파트 108동 6층603호,902000000,631400000,802999999,2025-12-08,1,601
2024타경6484,동부지원,주거용,기타,부산광역시 해운대구 우동 1435-2 대우월드마크해운대 23층101-2302호,967000000,967000000,0,2026-04-27,0,178
2024타경6606,동부지원,주거용,근린시설,부산광역시 해운대구 우동 603-19 라마다앙코르해운대호텔 2층208호,299000000,209300000,0,2026-04-13,2,1512
