사건번호,법원,물건종류,용도설명,소재지,감정가(원),최저매각가(원),낙찰가(원),매각기일,유찰횟수,거리(m)
2024타경806,동부지원,아파트,아파트,부산광역시 해운대구 우동 1407 해운대두산위브더제니스 102동 73층7307호,4000000000,1372000000,1567000000,2025-06-30,3,2
2024타경6958,동부지원,아파트,아파트,부산광역시 해운대구 우동 1407 해운대두산위브더제니스 101동 43층4301호,2550000000,2550000000,0,2026-04-27,1,2
2024타경6484,동부지원,주거용,기타,부산광역시 해운대구 우동 1435-2 대우월드마크해운대 23층101-2302호,967000000,967000000,0,2026-04-27,0,178
2024타경5085,동부지원,아파트,오피스텔,부산광역시 해운대구 우동 1435-3 한일오르듀 18층1923호,288000000,288000000,0,2026-04-28,0,191
2024타경1854,동부지원,아파트,아파트,부산광역시 해운대구 우동 1408 해운대아이파크 주동1동 33층3310호,1470000000,1029000000,1035000000,2025-07-14,2,229
2024타경100263,동부지원,아파트,아파트,부산광역시 해운대구 우동 1408 해운대아이파크 주동3동 6층601호,784000000,548800000,730777999,2026-01-13,1,229
2024타경104920,동부지원,아파트,"상가,오피스텔,근린시설",부산광역시 해운대구 우동 1434 선프라자 5층537호,632000000,216776000,244999000,2026-03-31,3,263
2024타경102207,동부지원,아파트,오피스텔,부산광역시 해운대구 우동 1436-1 더? 해운대아델리스 16층101-1602호,2279000000,1595300000,1832999999,2025-05-13,1,293
2024타경2123,동부지원,주거용,근린시설,부산광역시 해운대구 우동 1405-1 마린시티자이 3층306호,742000000,379904000,430000900,2025-04-28,3,302
2024타경109413,동부지원,아파트,아파트,부산광역시 해운대구 우동 1433 현대카멜리아 1동 14층1409호,1550000000,1550000000,0,2025-05-13,1,435
2023타경109584,동부지원,주거용,기타,부산광역시 해운대구 우동 1432 현대베네시티 지하상가동 지하1층비101-2호,1150000000,920000000,921000000,2025-05-12,1,541
2024타경2383,동부지원,아파트,아파트,부산광역시 해운대구 우동 1432 현대베네시티 101동 2층202호,1700000000,1190000000,1321100000,2025-05-13,1,541
2024타경2475,동부지원,아파트,아파트,부산광역시 해운대구 우동 1432 현대베네시티 102동 16층1601호,2191000000,1533700000,1900200000,2025-04-21,1,541
2024타경6378,동부지원,아파트,아파트,부산광역시 해운대구 우동 1388-12 경남마리나아파트 108동 6층603호,902000000,631400000,802999999,2025-12-08,1,601
2024타경752,동부지원,아파트,아파트,부산광역시 해운대구 우동 977 대우마리나3차아파트 310동 1층104호,897000000,627900000,757113600,2025-05-13,1,658
2024타경107868,동부지원,아파트,아파트,부산광역시 해운대구 우동 777 해운대한신휴플러스 1동 18층1804호,797000000,557900000,709900000,2026-01-05,2,708
2024타경6996,동부지원,아파트,아파트,부산광역시 해운대구 우동 974 경동마리나아파트 102동 4층401호,1138000000,796600000,1038999900,2025-11-10,1,713
2024타경107066,동부지원,아파트,아파트,부산광역시 해운대구 우동 974 경동마리나아파트 106동 18층1806호,464000000,324800000,466490000,2025-10-20,1,713
2024타경102757,동부지원,아파트,연립주택,부산광역시 해운대구 우동 957-12 1층101호,216000000,110592000,122123999,2025-04-28,3,803
2024타경5337,동부지원,기타건물,근린시설,부산광역시 해운대구 우동 655-6,13514607750,6622157700,7450000000,2026-03-24,2,987
2024타경101723,동부지원,아파트,아파트,부산광역시 해운대구 우동 936 롯데아파트 11동 4층405호,567000000,396900000,554860000,2025-10-28,1,1033
2024타경103545,동부지원,아파트,아파트,부산광역시 해운대구 우동 936 롯데아파트 3동 1층105호,1271000000,622790000,751000000,2025-04-22,2,1033
2023타경1161,동부지원,아파트,아파트,부산광역시 수영구 민락동 110-8 롯데캐슬자이언트 101동 24층2401호,707000000,452480000,0,2025-09-01,2,1080
2024타경100270,동부지원,아파트,오피스텔,부산광역시 해운대구 우동 643-1 한양수자인마린오피스텔 11층1117호,94000000,2655100,0,2026-05-12,11,1097
2024타경105046,동부지원,아파트,오피스텔,부산광역시 해운대구 우동 643-1 한양수자인마린오피스텔 19층1920호,77000000,37730000,51999000,2025-05-26,2,1097
2024타경936,동부지원,아파트,아파트,부산광역시 해운대구 우동 1008-5 동부올림픽타운 118동 6층604호,1050000000,735000000,867100000,2025-05-26,1,1165
2024타경106513,동부지원,아파트,아파트,부산광역시 해운대구 우동 1008-5 동부올림픽타운 104동 4층402호,797000000,557900000,790000000,2026-03-09,1,1165
2024타경108373,동부지원,기타건물,대지,부산광역시 해운대구 우동 675-7,5522400000,3865680000,4100000000,2026-01-06,1,1183
2023타경111365,동부지원,주거용,기타,부산광역시 해운대구 우동 645-2 블루스토리호텔 14층1404호,215000000,56360900,58800000,2025-06-23,6,1190
2024타경4044,동부지원,주거용,기타,부산광역시 해운대구 우동 645-2 블루스토리호텔 14층1416호,199000000,47780000,62250000,2025-11-03,4,1190
2024타경3218,동부지원,주거용,"상가,오피스텔,근린시설",부산광역시 수영구 민락동 110-48 바다산책프라자 지하층101호,504000000,352800000,380100000,2025-05-26,1,1202
2024타경2420,동부지원,아파트,오피스텔,부산광역시 해운대구 우동 639-3 해피투모로우마린 10층1007호,295000000,206500000,208500000,2026-02-24,1,1256
2024타경5757,동부지원,아파트,"상가,오피스텔,근린시설",부산광역시 해운대구 우동 639-3 해피투모로우마린 17층1704호,374000000,261800000,330000000,2025-08-18,1,1256
2024타경104630,동부지원,아파트,오피스텔,부산광역시 해운대구 우동 639-3 해피투모로우마린 9층904호,334000000,56135300,0,2026-03-24,6,1256
2024타경107684,동부지원,아파트,오피스텔,부산광역시 해운대구 우동 639-3 해피투모로우마린 7층702호,309000000,151410000,221899000,2025-09-22,2,1256
2024타경108700,동부지원,주거용,"상가,오피스텔,근린시설",부산광역시 해운대구 우동 639-3 해피투모로우마린 3층301호,5019000000,1721517000,3100000000,2026-02-09,3,1256
2024타경108830,동부지원,아파트,오피스텔,부산광역시 해운대구 우동 639-3 해피투모로우마린 10층1005호,310000000,217000000,217000100,2026-01-06,1,1256
2024타경6231,동부지원,주거용,기타,부산광역시 해운대구 우동 539-10 해운대라뮤에뜨 22층2209호,425000000,208250000,0,2026-01-13,3,1406
2024타경2260,동부지원,아파트,아파트,부산광역시 수영구 민락동 336-48 민락동센텀메르빌아파트 102동 지상25층2504호,496000000,347200000,450000500,2025-06-09,1,1452
2024타경4310,동부지원,아파트,아파트,부산광역시 수영구 민락동 783 이편한세상오션테라스3단지 301동 14층1403호,974000000,681800000,920111000,2025-04-22,1,1495
2024타경3706,동부지원,주거용,근린시설,부산광역시 해운대구 우동 603-19 라마다앙코르해운대호텔 1층104호,2821000000,1382290000,1920000000,2025-08-11,2,1512
2024타경6606,동부지원,주거용,근린시설,부산광역시 해운대구 우동 603-19 라마다앙코르해운대호텔 2층208호,299000000,209300000,0,2026-04-13,2,1512
2024타경6224,동부지원,아파트,아파트,부산광역시 해운대구 우동 1102-221 센텀현대아파트 101동 15층1504호,459000000,321300000,380000900,2025-11-25,1,1564
2024타경3447,동부지원,아파트,다세대,부산광역시 수영구 민락동 140-8 매직월드텔 비동 5층501호,155000000,108500000,110500000,2025-07-14,1,1571
2024타경2772,동부지원,아파트,"상가,오피스텔,근린시설",부산광역시 해운대구 우동 1506 센텀스퀘어 20층2008호,413000000,289100000,322770000,2025-06-24,1,1578
2024타경3614,동부지원,아파트,오피스텔,부산광역시 해운대구 우동 1506 센텀스퀘어 9층909호,392000000,192080000,287827777,2026-04-28,2,1578
2024타경103903,동부지원,주거용,오피스텔,부산광역시 해운대구 우동 1506 센텀스퀘어 20층2001호,694000000,485800000,490000000,2025-05-13,1,1578
2024타경108144,동부지원,기타건물,임야,부산광역시 해운대구 우동 산106-5,174154960,121908400,144600000,2025-05-12,1,1592
2024타경6828,동부지원,주거용,"상가,오피스텔,근린시설",부산광역시 해운대구 중동 1392-26 엘리시아 11층1101호,3930000000,1925700000,1953500000,2026-03-30,2,1598
2024타경158,동부지원,아파트,오피스텔,부산광역시 해운대구 우동 1523 더블유비씨더팰리스 101동 24층2401호,2550000000,2040000000,2259999000,2025-06-02,1,1607
2023타경103890,동부지원,아파트,아파트,부산광역시 해운대구 우동 598-4 해운대파크에비뉴 18층1804호,202000000,3640000,4037800,2026-03-09,18,1739
2024타경4501,동부지원,아파트,오피스텔,부산광역시 수영구 민락동 181-88 타워더모스트광안 13층1306호,190000000,133000000,133001011,2025-04-22,1,1747
2023타경110843,동부지원,아파트,아파트,부산광역시 해운대구 우동 1100 센텀삼환아파트 104동 13층1304호,522000000,334080000,435100000,2025-05-13,2,1771
2023타경110867,동부지원,아파트,아파트,부산광역시 해운대구 우동 1100 센텀삼환아파트 106동 7층705호,522000000,417600000,432000000,2025-09-22,1,1771
2024타경6279,동부지원,아파트,아파트,부산광역시 해운대구 중동 1402-5 505호 삼강아파트,284000000,139160000,139160000,2026-03-09,2,1857
2024타경107905,동부지원,기타건물,아파트,부산광역시 해운대구 중동 1402-5,121000000,59290000,0,2026-04-27,3,1857
2023타경111051,동부지원,아파트,아파트,부산광역시 해운대구 우동 1549 해운대비스타동원 102동 29층2906호,1220000000,854000000,1113899000,2026-05-04,1,1864
2024타경3164,동부지원,아파트,아파트,부산광역시 해운대구 우동 333 해운대협성프라임빌아파트 101동 14층1404호,429000000,300300000,353210000,2025-06-30,1,1872
2023타경3747,동부지원,아파트,아파트,부산광역시 해운대구 우동 345-6 신동비치아파트 2동 3층301호,402000000,196980000,263830000,2026-01-12,2,1884
2024타경5474,동부지원,아파트,아파트,부산광역시 해운대구 중동 1839 롯데캐슬스타 103동 47층4705호,1053000000,1053000000,0,2026-05-18,0,1952
2024타경6309,동부지원,주거용,근린시설,부산광역시 해운대구 중동 1839 롯데캐슬스타 105동 1층102호,2390000000,573839000,0,2026-04-28,5,1952
2024타경109499,동부지원,주거용,"상가,오피스텔,근린시설",부산광역시 해운대구 중동 1126-45 영무파라드호텔 20층2002호,407000000,199430000,221770000,2026-01-26,2,1988
2024타경107998,동부지원,주거용,상가,부산광역시 해운대구 중동 1124-2 팔레드시즈 2층2-12호,1680000000,823200000,0,2026-04-27,3,1990
2024타경103705,동부지원,아파트,아파트,부산광역시 해운대구 우동 1104-1 삼호가든맨션 11동 4층406호,877000000,613900000,651000000,2025-05-13,1,1998
2024타경745,동부지원,아파트,오피스텔,부산광역시 수영구 민락동 176-18 16층1606호,267000000,130830000,157100000,2025-05-13,2,2000
2023타경4153,동부지원,아파트,오피스텔,부산광역시 수영구 민락동 172-7 프리빌리지수 2층201호,174000000,174000000,0,2026-04-27,0,2064
2024타경431,동부지원,아파트,아파트,부산광역시 해운대구 중동 1360 롯데캐슬마린아파트 104동 25층2501호,680000000,476000000,642120000,2025-08-04,1,2093
2022타경1416,동부지원,아파트,아파트,부산광역시 수영구 민락동 162-19 현명빌라 2층202호,300000000,153600000,192300099,2025-06-02,3,2149
2024타경4372,동부지원,아파트,아파트,부산광역시 수영구 민락동 765 부산더샵센텀포레 105동 3층303호,1046000000,732200000,962500569,2026-02-24,1,2156
2023타경110126,동부지원,아파트,다세대,부산광역시 수영구 민락동 157-13 케이디스페이스알파157 2층201호,188000000,92120000,110989000,2026-04-06,2,2158
2024타경2802,동부지원,아파트,오피스텔,부산광역시 해운대구 중동 1199-4 럭키골든스위트 3층305호,161000000,78890000,101000000,2025-05-26,2,2187
2024타경3010,동부지원,아파트,아파트,부산광역시 해운대구 중동 1199-4 럭키골든스위트 16층1601호,586000000,287140000,322100000,2025-05-12,2,2187
2024타경3041,동부지원,아파트,아파트,부산광역시 해운대구 중동 1199-4 럭키골든스위트 22층2201호,578000000,283220000,393599000,2025-09-22,2,2187
2024타경6033,동부지원,아파트,아파트,부산광역시 해운대구 중동 1199-4 럭키골든스위트 15층1502호,554000000,387800000,391391000,2025-12-09,1,2187
2024타경100447,동부지원,아파트,아파트,부산광역시 해운대구 중동 1199-4 럭키골든스위트 4층403호,487000000,487000000,0,2026-04-20,0,2187
2024타경103613,동부지원,아파트,오피스텔,부산광역시 해운대구 중동 1199-4 럭키골든스위트 3층302호,134000000,93800000,96300000,2025-05-13,1,2187
2024타경107004,동부지원,아파트,아파트,부산광역시 해운대구 중동 1199-4 럭키골든스위트 10층1005호,323000000,226100000,231231000,2025-12-01,6,2187
2024타경107196,동부지원,아파트,아파트,부산광역시 해운대구 중동 1199-4 럭키골든스위트 5층504호,487000000,238630000,292100000,2026-03-24,2,2187
2023타경111723,동부지원,주거용,기타,부산광역시 해운대구 중동 1829 엘시티 랜드마크타워동 40층 4008호,2340000000,1198080000,1605111000,2025-05-13,3,2198
2024타경3096,동부지원,주거용,기타,부산광역시 해운대구 중동 1829 엘시티 랜드마크타워동 75층7508호,3910000000,1341130000,1979999999,2025-09-08,3,2198
2024타경5399,동부지원,주거용,기타,부산광역시 해운대구 중동 1829 엘시티 랜드마크타워동 36층3601호,4050000000,1984500000,2500990000,2025-10-21,2,2198
2024타경6521,동부지원,주거용,"상가,오피스텔,근린시설",부산광역시 해운대구 중동 1829 엘시티 포디움동 1층1066호,1690000000,579670000,876000000,2025-11-24,3,2198
2024타경6781,동부지원,아파트,아파트,부산광역시 해운대구 중동 1829 엘시티 타워비동 26층2604호,4196000000,2937200000,3464121500,2026-01-12,1,2198
2024타경6804,동부지원,주거용,"상가,오피스텔,근린시설",부산광역시 해운대구 중동 1829 엘시티 랜드마크타워동 34층3404호,5160000000,2528400000,2655100000,2026-01-26,2,2198
2024타경5290,동부지원,아파트,아파트,부산광역시 해운대구 중동 1199-5 해운대비치베르빌 31층102-3104호,503000000,352100000,435750000,2025-07-14,1,2212
2024타경103033,동부지원,아파트,아파트,부산광역시 해운대구 중동 1199-5 해운대비치베르빌 27층102-2701호,518000000,414400000,421250000,2026-01-19,1,2212
2024타경3508,동부지원,아파트,오피스텔,부산광역시 해운대구 중동 1267-3 코스모시티 20층비2014호,74000000,36260000,51770000,2025-04-22,2,2259
2024타경108441,동부지원,주거용,"상가,오피스텔,근린시설",부산광역시 해운대구 중동 1267-3 코스모시티,156000000,53508000,66596000,2025-09-16,3,2259
2024타경1281,동부지원,주거용,근린시설,부산광역시 수영구 광안동 129-43 화담파크밸리 1층101호,127000000,43561000,61200000,2025-05-12,3,2328
2023타경5392,동부지원,아파트,오피스텔,부산광역시 해운대구 중동 1778-1 이안해운대파일론 14층1406호,1078000000,551936000,699000000,2025-06-24,3,2345
2023타경109263,동부지원,기타건물,단독주택,부산광역시 수영구 민락동 148-32,160344200,65676800,67897000,2025-06-23,4,2349
2024타경240,동부지원,아파트,"연립주택,다세대,빌라",부산광역시 수영구 광안동 129-46 제이제이 2층201호,242000000,169400000,191100000,2026-02-23,1,2377
2024타경2727,동부지원,기타건물,기타,부산광역시 수영구 민락동 146-30,77750000,77750000,130000000,2025-07-14,0,2398
2024타경3652,동부지원,주거용,기타,부산광역시 해운대구 우동 1459 퍼스트인센텀 8층804호,544000000,266560000,320900000,2025-10-27,2,2413
2024타경943,동부지원,아파트,아파트,부산광역시 수영구 민락동 778 센텀비스타동원 105동 27층2707호,803000000,642400000,741876100,2025-06-02,1,2431
2024타경2116,동부지원,아파트,오피스텔,부산광역시 해운대구 중동 1757 하모니타워마브러스 102동 20층2017호,575000000,281750000,352999000,2025-07-14,2,2474
2024타경4426,동부지원,아파트,오피스텔,부산광역시 해운대구 중동 1757 하모니타워마브러스 101동 9층905호,558000000,273420000,331604000,2025-09-08,2,2474
2024타경6811,동부지원,아파트,"상가,오피스텔,근린시설",부산광역시 해운대구 중동 1757 하모니타워마브러스 101동 10층1007호,349000000,171010000,232232000,2026-01-19,2,2474
2024타경107011,동부지원,아파트,오피스텔,부산광역시 해운대구 중동 1757 하모니타워마브러스 102동 3층318호,720000000,352800000,468080000,2026-04-27,2,2474
2023타경106608,동부지원,아파트,연립주택,부산광역시 해운대구 좌동 1365 해운대동원듀크빌리지 106동 4층505호,575000000,402500000,509999990,2026-03-09,1,2499
2023타경110133,동부지원,아파트,오피스텔,부산광역시 수영구 광안동 123-8 케이디스페이스알파123 2층201호,222000000,222000000,0,2026-04-20,0,2499
2023타경2324,동부지원,아파트,아파트,부산광역시 해운대구 재송동 1360 센텀천일스카이원 101동 17층1702호,591000000,302592000,400084000,2026-02-02,3,2540
2024타경105541,동부지원,아파트,아파트,부산광역시 해운대구 중동 1515-2 달맞이경동메르빌 102동 10층1103호,1240000000,868000000,930500000,2025-04-21,1,2593
2023타경110263,동부지원,아파트,다세대,부산광역시 수영구 광안동 148-18 오텀스카이 2층201호,446000000,285440000,353899000,2025-06-24,2,2607
2023타경2393,동부지원,아파트,아파트,부산광역시 해운대구 좌동 1348 코오롱아파트 107동 9층902호,677000000,433280000,458000000,2025-07-21,2,2656
2023타경105254,동부지원,아파트,"연립주택,다세대,빌라",부산광역시 수영구 수영동 502-45 수목하우스 나동 2층204호,110000000,53900000,60000000,2025-11-24,2,2679
2024타경1618,동부지원,아파트,아파트,부산광역시 해운대구 중동 1821 달맞이유림노르웨이숲 104동 5층503호,604000000,422800000,479390000,2025-05-13,1,2709
2023타경109386,동부지원,아파트,아파트,부산광역시 해운대구 좌동 1271 신성아파트 105동 4층402호,678000000,433920000,517550000,2025-04-28,2,2772
2024타경4020,동부지원,아파트,다가구주택,부산광역시 수영구 광안동 90-57 센티움시티8차 2층201호,160000000,160000000,0,2026-04-28,1,2772
2024타경1342,동부지원,주거용,근린시설,부산광역시 수영구 광안동 50-2 더폼타워 1동 2층201호,515600000,252644000,289990000,2025-05-19,2,2780
2022타경102852,동부지원,아파트,"연립주택,다세대,빌라",부산광역시 수영구 광안동 199-3 가비펠리치 2층201호,172000000,88064000,103200000,2025-06-30,4,2792
2022타경107215,동부지원,아파트,아파트,부산광역시 수영구 광안동 473-2 광안동에스케이뷰 101동 2층203호,535000000,428000000,518999999,2026-03-23,1,2851
2024타경102450,동부지원,아파트,다세대,부산광역시 해운대구 중동 1521-17 남경빌라2차 4층401호,93000000,45570000,49900000,2025-06-24,2,2852
2024타경5368,동부지원,아파트,빌라,부산광역시 해운대구 중동 1508-13 2동 1층101호,210000000,210000000,310100000,2025-05-27,0,2888
2024타경2550,동부지원,아파트,아파트,부산광역시 해운대구 좌동 1274 한일아파트 110동 20층2001호,331000000,231700000,281399990,2025-06-09,1,2889
2024타경109130,동부지원,아파트,아파트,부산광역시 해운대구 중동 1506-8 남경크리스탈 3층302호,619000000,212317000,238000000,2025-09-09,3,2894
2024타경2895,동부지원,아파트,아파트,부산광역시 수영구 광안동 74-8 일성센텀스카이뷰 5층506호,116000000,81200000,82787000,2025-04-21,1,2898
2023타경4429,동부지원,아파트,오피스텔,부산광역시 수영구 광안동 89-1 센텀디아이리더스 2층206호,182000000,89180000,112770000,2026-03-23,2,2911
2023타경108673,동부지원,아파트,"상가,오피스텔,근린시설",부산광역시 수영구 광안동 89-1 센텀디아이리더스 2층205호,154000000,75460000,91000000,2026-04-13,2,2911
2024타경107233,동부지원,아파트,아파트,부산광역시 해운대구 좌동 1278 엘에이치뜨란채아파트 408동 8층805호,210000000,147000000,200000000,2025-08-04,1,2922
2023타경109690,동부지원,아파트,기타,부산광역시 수영구 광안동 662-1 힐탑더블시티 102동 21층2105호,200000000,21474000,23900000,2025-09-08,10,2941
2024타경3270,동부지원,아파트,아파트,부산광역시 해운대구 중동 1793 래미안해운대 106동 18층1803호,820000000,574000000,762600000,2025-06-30,1,2957
2024타경5870,동부지원,아파트,아파트,부산광역시 해운대구 재송동 97-1 센텀삼흥 비동 5층605호,216000000,151200000,177777777,2026-02-02,1,2957
2024타경105473,동부지원,아파트,오피스텔,부산광역시 해운대구 좌동 1459-5 까르띠움 3층306호,91000000,21849000,78000000,2025-09-29,4,3017
2024타경6392,동부지원,아파트,오피스텔,부산광역시 해운대구 좌동 1459-4 신화하니엘타워 10층1005호,79000000,55300000,55300000,2026-01-13,1,3028
2024타경103880,동부지원,아파트,오피스텔,부산광역시 해운대구 좌동 1459-4 신화하니엘타워 8층806호,80000000,27440000,27440000,2025-05-12,3,3028
2023타경104848,동부지원,아파트,아파트,부산광역시 수영구 남천동 148-4 비치 211동 12층1211호,1013000000,709100000,905888000,2025-08-04,1,3028
2024타경3850,동부지원,아파트,아파트,부산광역시 수영구 남천동 148-4 비치 302동 5층505호,1347000000,942900000,0,2025-09-09,1,3028
2023타경108352,동부지원,아파트,아파트,부산광역시 수영구 광안동 742-2 협성엠파이어아파트 101동 11층1104호,569000000,455200000,543210000,2025-12-08,1,3038
2023타경816,동부지원,아파트,아파트,부산광역시 수영구 광안동 379-35 디아이 세라뷰 3층301호,246000000,26414000,30000000,2025-04-28,10,3057
2024타경1458,동부지원,주거용,근린시설,부산광역시 해운대구 좌동 1459-2 파밀리에펄시티 1층109호,753000000,180795300,186111000,2026-02-24,4,3060
2024타경5535,동부지원,아파트,"연립주택,다세대,빌라",부산광역시 해운대구 중동 1500-5 바하하우스주건축물 1동 2층에이-201호,139000000,68110000,89795200,2026-01-05,2,3064
2024타경103972,동부지원,아파트,아파트,부산광역시 해운대구 좌동 1337 현대아파트 112동 19층1902호,715000000,500500000,550100000,2025-05-13,1,3088
2024타경104609,동부지원,아파트,"연립주택,다세대,빌라",부산광역시 해운대구 중동 1520-5 2층21호,333000000,163170000,250009000,2025-05-26,2,3088
2024타경107127,동부지원,아파트,아파트,부산광역시 해운대구 좌동 1337 현대아파트 109동 5층502호,723000000,506100000,547600000,2025-12-08,1,3088
2024타경107516,동부지원,아파트,아파트,부산광역시 해운대구 좌동 1337 현대아파트 111동 16층1604호,520000000,364000000,412100029,2025-04-22,1,3088
2024타경7074,동부지원,주거용,"상가,오피스텔,근린시설",부산광역시 해운대구 좌동 1475-2 투모로우오피스텔 3층303호,72000000,50400000,71500000,2026-01-05,1,3109
2024타경4563,동부지원,아파트,오피스텔,부산광역시 해운대구 좌동 1476-1 해운대베르나움 19층에이1928호,69000000,48300000,55896000,2025-05-12,1,3117
2024타경108786,동부지원,아파트,아파트,부산광역시 해운대구 좌동 1282 해운대센트럴파크아파트 203동 13층1306호,308000000,215600000,231990000,2025-06-30,1,3128
2024타경100331,동부지원,주거용,"상가,오피스텔,근린시설",부산광역시 해운대구 좌동 1461-4 대하프라자 6층608호,89000000,89000000,0,2026-06-22,0,3175
2024타경3942,동부지원,아파트,오피스텔,부산광역시 해운대구 좌동 1478-1 해운대좌동에스케이허브올리브 10층1016호,71400000,34986000,46500000,2025-04-22,2,3179
2024타경1090,동부지원,주거용,"상가,오피스텔,근린시설",부산광역시 해운대구 좌동 1479-1 웅신시네아트 10층1001호,3540000000,3540000000,0,2026-05-18,0,3188
2024타경103620,동부지원,주거용,근린시설,부산광역시 해운대구 좌동 1479-1 웅신시네아트 7층705호,1600000000,784000000,952500000,2025-09-29,2,3188
2023타경2607,동부지원,아파트,아파트,부산광역시 해운대구 재송동 1200 더?센텀파크1차아파트 112동 36층3601호,1260000000,1008000000,1186899000,2025-06-16,1,3189
2024타경4679,동부지원,아파트,아파트,부산광역시 해운대구 재송동 1200 더?센텀파크1차아파트 104동 19층1903호,1130000000,1130000000,1341000000,2026-02-10,0,3189
2024타경6071,동부지원,아파트,아파트,부산광역시 해운대구 재송동 1200 더?센텀파크1차아파트 105동 6층602호,917000000,641900000,920999999,2025-08-25,1,3189
2024타경1670,동부지원,아파트,다세대,부산광역시 수영구 광안동 501-1 더골드캐슬 2층201호,122000000,122000000,0,2026-04-27,1,3219
2023타경5743,동부지원,주거용,"상가,오피스텔,근린시설",부산광역시 해운대구 중동 1809 해운대힐스테이트위브 판매동 1층134호,535000000,262150000,0,2026-05-12,3,3228
2021타경2702,동부지원,아파트,아파트,부산광역시 해운대구 중동 1818 해운대힐스테이트위브 티-104동 5층501호,990000000,506880000,568770000,2026-04-13,3,3269
2024타경4112,동부지원,아파트,아파트,부산광역시 해운대구 중동 1818 해운대힐스테이트위브 티-201동 6층605호,1188000000,831600000,890000000,2025-04-22,1,3269
2024타경5238,동부지원,아파트,아파트,부산광역시 해운대구 중동 1818 해운대힐스테이트위브 티-105동 7층702호,922000000,645400000,687990000,2025-12-08,1,3269
2024타경104326,동부지원,아파트,다세대,부산광역시 해운대구 중동 1492-1 평립아트빌라 2층204호,129000000,63210000,74100000,2025-06-24,2,3316
2022타경105318,동부지원,아파트,"연립주택,다세대,빌라",부산광역시 수영구 광안동 1065-49 대도빌라 에이동 5층401호,191000000,133700000,149999900,2025-06-23,1,3320
